ID,Beak_Size,Survive
669,10.81,1
128,8.74,0
481,10.04,0
364,9.75,0
365,9.76,0
335,9.55,0
124,8.7,0
351,9.62,0
234,9.22,0
114,8.79,0
350,9.61,0
168,9.02,0
36,7.85,0
167,9.01,0
61,8.26,0
60,8.25,0
237,9.25,0
287,9.45,0
90,8.52,0
96,8.61,0
52,8.12,0
34,7.81,0
27,7.49,0
24,7.3,0
37,7.87,0
26,7.45,0
32,7.69,0
44,8.04,0
29,7.57,0
28,7.53,0
45,8.05,0
40,7.93,0
22,7.24,0
30,7.61,0
195,9.1,0
31,7.65,0
42,7.97,0
41,7.95,0
47,8.07,0
25,7.41,0
39,7.91,0
43,7.99,0
164,8.97,0
94,8.56,0
158,8.91,0
98,8.63,0
99,8.64,0
159,8.92,0
154,8.87,0
75,8.48,0
162,8.95,0
166,8.99,0
151,8.84,0
155,8.88,0
9,6.61,0
163,8.96,0
160,8.93,0
161,8.94,0
101,8.66,0
169,9.03,0
8,6.5,0
165,8.98,0
7,6.46,0
23,7.27,0
48,8.08,0
93,8.55,0
80,8.42,0
78,8.51,0
87,8.49,0
91,8.53,0
50,8.1,0
77,8.5,0
84,8.46,0
12,6.67,0
56,8.21,0
92,8.54,0
15,6.73,0
10,6.63,0
79,8.41,0
5,6.25,0
21,7.21,0
82,8.44,0
86,8.48,0
73,8.46,0
58,8.23,0
3,6.01,0
13,6.69,0
133,8.85,0
18,7.09,0
6,6.36,0
14,6.71,0
49,8.09,0
83,8.45,0
20,7.15,0
81,8.43,0
16,7.03,0
11,6.65,0
171,9.05,0
157,8.9,0
131,8.83,0
17,7.06,0
150,8.83,0
136,8.88,0
129,8.81,0
46,8.06,0
54,8.14,0
4,6.1,0
156,8.89,0
106,8.71,0
170,9.04,0
153,8.86,0
621,10.57,0
623,10.59,0
618,10.54,0
620,10.56,0
617,10.53,0
143,8.95,0
145,8.97,0
141,8.93,0
126,8.72,0
627,10.44,0
127,8.73,0
111,8.76,0
121,8.67,0
57,8.22,0
174,9.08,0
135,8.87,0
628,10.45,0
182,9.16,0
376,9.68,0
132,8.84,0
137,8.89,0
116,8.62,0
179,9.13,0
122,8.68,0
177,9.11,0
181,9.15,0
185,9.19,0
184,9.18,0
178,9.12,0
619,10.55,0
176,9.1,0
173,9.07,0
125,8.71,0
138,8.9,0
388,9.62,0
140,8.92,0
142,8.94,0
144,8.96,0
614,10.5,0
183,9.17,0
615,10.51,0
118,8.64,0
55,8.15,0
394,9.68,0
180,9.14,0
103,8.68,0
148,8.81,0
172,9.06,0
188,9.03,0
147,8.99,0
175,9.09,0
149,8.82,0
107,8.72,0
74,8.47,0
191,9.06,0
104,8.69,0
130,8.82,0
134,8.86,0
105,8.7,0
110,8.75,0
102,8.67,0
123,8.69,0
